"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
FEB01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
MAR01,Adult,Female,0,1,1,0,0,0,0,152,11,48,15,78,3,1,2,9,7,2,18,2,0,3,13,183,81,46,40,6,15,20,2,88,44,395,14,250,39,92,332,0,76,118,0,138,95,15,18,60,2,1037,540,1,248,22,18,251,36,12,0,1,20,1,0,0,2,14,0,32,19,30,2,3,0,20,5,374,7,145,18,204,0,391,11,349,31,0,12,1448,13
MAR01,Adult,Male,5,12,9,0,0,0,3,724,41,338,64,281,186,38,148,74,56,18,128,22,1,28,77,1129,808,408,375,33,160,240,11,762,300,1125,65,324,421,315,712,0,157,234,0,321,338,79,67,183,9,4056,2065,7,971,127,53,907,11,5,1,3,1,1,0,0,0,88,0,393,118,296,22,66,4,120,84,1598,20,668,38,872,0,2217,84,1741,388,4,63,6849,14
MAR01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
MAR01,Juvenile,Female,0,0,0,0,0,0,0,68,2,30,5,31,0,0,0,1,1,0,2,1,0,0,1,71,41,12,11,1,5,24,0,39,24,280,6,234,4,36,21,0,4,7,0,10,15,4,8,2,1,420,64,0,32,0,5,27,2,0,0,0,2,0,0,0,0,21,0,0,11,1,0,0,0,1,0,71,2,30,5,34,0,7,3,4,0,0,5,182,16
MAR01,Juvenile,Male,0,0,0,0,0,0,0,113,2,58,12,41,27,4,23,10,3,7,15,2,0,1,12,165,374,114,109,5,63,197,1,345,149,487,27,190,125,145,24,0,3,7,0,14,69,9,26,32,2,1449,235,0,131,3,12,89,0,0,0,0,0,0,0,0,0,33,0,1,104,24,1,3,0,18,2,169,2,53,36,78,0,21,8,13,0,0,16,603,17
MAR01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
APR01,Adult,Female,0,1,1,0,0,0,0,133,4,40,17,72,6,4,2,6,0,6,19,0,1,7,11,165,54,30,26,4,10,14,4,69,30,313,12,194,22,85,229,1,45,74,0,109,75,17,15,42,1,774,514,5,218,18,32,241,47,9,2,6,21,2,1,4,2,26,0,24,15,17,0,3,0,8,6,332,2,144,7,179,0,395,2,361,32,0,9,1379,19
APR01,Adult,Male,5,15,12,0,1,0,2,674,38,314,55,267,149,45,104,73,46,27,93,21,1,24,47,1009,743,388,360,28,130,225,10,702,318,918,50,259,285,324,565,1,93,141,0,330,303,51,77,169,6,3559,2059,14,964,94,102,885,11,3,0,3,5,0,0,0,0,77,1,353,135,285,17,73,5,96,94,1447,17,587,33,810,0,2001,67,1634,300,0,70,6439,20
APR01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
APR01,Juvenile,Female,0,0,0,0,0,0,0,55,1,35,1,18,3,1,2,4,2,2,3,2,0,0,1,65,23,6,6,0,1,16,0,28,14,337,4,292,10,31,5,0,0,4,0,1,12,1,5,6,0,419,46,0,22,1,2,21,1,0,0,0,1,0,0,0,0,12,0,0,7,1,0,0,0,0,1,50,0,24,5,21,0,1,0,1,0,0,4,122,22
APR01,Juvenile,Male,0,1,1,0,0,0,0,106,4,55,10,37,21,4,17,24,11,13,20,8,1,3,8,172,294,91,89,2,49,154,0,314,144,464,20,228,89,127,50,0,6,1,0,43,65,14,24,27,0,1331,229,0,111,5,26,87,0,0,0,0,0,0,0,0,0,25,0,0,75,24,0,3,1,18,2,135,2,67,15,51,0,18,8,10,0,0,30,536,23
APR01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MAY01,Adult,Female,1,0,0,0,0,0,0,137,8,52,12,65,2,1,1,19,14,5,18,3,1,5,9,177,68,44,43,1,11,13,0,73,39,408,19,268,27,94,269,0,64,63,0,142,80,13,17,48,2,937,520,0,232,23,12,253,38,10,4,3,13,1,0,3,4,10,0,25,24,30,1,8,0,17,4,318,0,134,11,173,0,405,7,369,29,0,19,1389,25
