"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
AUG03,Juvenile,Female,0,0,0,0,0,0,0,55,4,24,4,23,0,0,0,4,1,3,0,0,0,0,0,59,23,7,7,0,3,13,0,52,29,366,5,302,22,37,28,0,1,8,0,19,15,4,3,8,0,513,54,0,32,1,3,18,0,0,0,0,0,0,0,0,0,13,0,0,16,5,0,0,0,4,1,61,0,17,20,24,0,0,0,0,0,0,3,152,190
AUG03,Juvenile,Male,0,0,0,0,0,0,0,131,12,51,7,61,40,6,34,21,10,11,12,2,0,2,8,204,432,117,117,0,91,224,12,394,137,657,18,329,153,157,30,0,2,4,0,24,80,8,32,39,1,1742,217,0,114,7,12,84,1,0,0,0,1,0,0,0,0,44,0,4,111,56,0,6,0,42,8,144,4,58,34,48,0,20,6,9,5,0,25,622,191
AUG03,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
SEP03,Adult,Female,0,1,1,0,0,0,0,182,10,67,17,88,10,2,8,8,6,2,37,2,0,7,28,238,58,32,28,4,10,16,2,67,34,384,12,249,29,94,236,2,22,32,0,180,109,16,15,76,2,890,711,4,309,48,18,332,12,0,2,7,1,0,0,2,0,40,0,69,18,26,2,1,2,19,2,321,6,141,4,170,6,469,8,389,72,0,19,1691,193
SEP03,Adult,Male,7,14,10,0,2,0,2,645,36,303,49,257,183,30,153,50,30,20,148,9,0,29,110,1047,677,328,292,36,97,252,14,584,274,1075,55,298,309,413,507,3,33,127,0,344,329,54,78,186,11,3460,2445,19,1114,144,62,1106,56,0,1,1,53,0,0,1,0,155,0,573,175,290,12,50,9,149,70,1738,37,716,36,949,8,2443,103,1777,561,2,67,7950,194
SEP03,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
SEP03,Juvenile,Female,0,0,0,0,0,0,0,43,0,27,3,13,1,0,1,2,1,1,8,0,0,4,4,54,31,10,10,0,5,16,0,42,15,285,9,239,13,24,11,0,1,0,0,10,19,1,11,7,0,403,38,0,17,0,2,19,0,0,0,0,0,0,0,0,0,10,0,0,11,5,0,0,1,4,0,47,0,14,13,20,0,3,1,2,0,0,3,117,196
SEP03,Juvenile,Male,0,1,1,0,0,0,0,103,5,35,9,54,29,2,27,18,11,7,17,2,0,0,15,168,205,50,45,5,28,127,3,274,76,558,16,211,186,145,27,0,0,8,0,19,62,14,19,29,0,1205,238,0,111,10,11,106,0,0,0,0,0,0,0,0,0,26,1,2,92,37,0,8,4,21,4,108,2,36,33,37,0,23,13,9,1,0,14,541,197
SEP03,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
OCT03,Adult,Female,1,1,0,0,1,0,0,201,6,79,20,96,3,1,2,9,7,2,50,3,0,5,42,265,84,59,54,5,9,16,2,90,30,480,17,305,27,131,260,3,33,40,0,184,136,19,26,91,0,1082,739,4,307,47,22,359,33,0,0,20,12,0,0,1,0,53,0,66,26,41,0,7,0,24,10,422,6,208,15,193,1,507,10,409,87,1,9,1897,199
OCT03,Adult,Male,5,9,8,0,0,0,1,773,64,362,62,285,148,35,113,63,39,24,125,15,0,23,87,1123,706,409,376,33,95,202,19,605,327,1122,62,383,350,327,588,4,51,202,0,331,376,76,53,242,5,3743,2749,10,1260,181,83,1215,81,0,0,1,77,0,0,2,1,188,0,554,150,311,10,67,4,157,73,1950,34,824,41,1051,7,2428,90,1786,551,1,70,8488,200
OCT03,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
OCT03,Juvenile,Female,0,0,0,0,0,0,0,56,2,24,5,25,2,0,2,4,0,4,5,0,0,2,3,67,52,21,20,1,11,20,1,43,26,368,11,300,24,33,14,0,1,0,0,13,17,3,5,9,0,521,42,0,15,0,1,26,0,0,0,0,0,0,0,0,0,9,0,0,29,3,0,0,0,1,2,63,1,25,15,22,0,6,1,5,0,0,3,155,202
OCT03,Juvenile,Male,0,0,0,0,0,0,0,96,4,39,8,45,38,15,23,18,6,12,18,1,0,1,16,170,395,143,138,5,78,174,12,377,136,527,20,245,120,142,33,0,2,15,0,16,63,11,26,26,0,1543,216,0,113,7,5,91,0,0,0,0,0,0,0,0,0,31,0,1,114,25,1,2,5,14,3,172,1,62,52,57,0,26,9,11,6,0,19,604,203
OCT03,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
NOV03,Adult,Female,1,2,2,0,0,0,0,186,12,74,17,83,4,0,4,9,5,4,48,1,1,2,44,250,74,55,52,3,8,11,1,72,34,377,18,238,31,90,268,1,34,38,0,195,102,19,19,61,3,928,626,1,259,34,12,320,13,0,0,3,8,0,0,1,1,60,0,64,25,28,1,4,0,20,3,464,11,208,13,232,0,502,9,416,77,0,19,1801,205
NOV03,Adult,Male,4,14,10,0,0,0,4,741,45,329,75,292,164,25,139,56,30,26,134,12,11,23,88,1113,811,506,481,25,110,195,15,586,247,1308,70,362,265,611,500,3,52,39,0,406,375,76,78,212,9,3842,2450,10,1129,141,95,1075,45,0,0,1,39,2,0,3,0,201,0,594,162,309,13,64,6,144,82,2086,29,799,40,1218,6,2704,108,1979,617,0,62,8619,206
NOV03,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
NOV03,Juvenile,Female,0,0,0,0,0,0,0,55,0,27,2,26,5,0,5,4,1,3,3,0,0,0,3,67,40,19,19,0,3,18,1,48,21,260,5,218,15,22,11,0,1,0,0,10,18,6,9,3,0,399,51,0,26,1,3,21,0,0,0,0,0,0,0,0,0,29,0,2,19,2,0,0,0,2,0,56,4,22,4,26,0,4,0,3,1,0,1,164,208
NOV03,Juvenile,Male,0,1,1,0,0,0,0,125,5,61,14,45,35,9,26,19,10,9,29,0,3,1,25,209,315,124,122,2,58,133,8,281,151,590,31,234,169,156,48,0,0,2,0,46,65,13,32,19,1,1458,210,0,108,6,7,89,0,0,0,0,0,0,0,0,0,52,1,1,110,50,0,9,10,23,8,172,8,69,17,78,0,26,10,15,1,0,22,644,209
NOV03,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
DEC03,Adult,Female,1,3,2,0,0,0,1,183,11,60,16,96,3,0,3,2,2,0,36,0,0,3,33,228,68,36,30,6,20,12,3,102,38,415,21,282,30,82,311,100,23,48,0,140,104,13,16,75,0,1041,610,3,269,22,22,294,12,0,1,0,9,2,0,0,0,87,0,50,31,30,0,7,0,16,7,371,3,178,8,182,0,544,12,455,77,0,14,1749,211
DEC03,Adult,Male,3,16,11,0,0,0,5,731,37,342,65,287,147,43,104,86,64,22,136,17,1,20,98,1119,804,397,370,27,134,273,18,679,324,1150,62,364,315,409,546,1,115,89,1,340,331,59,62,208,2,3852,2388,16,1098,134,86,1054,46,0,0,0,42,4,0,0,0,240,1,583,182,325,14,80,9,140,82,2174,37,895,41,1201,3,2733,92,2040,597,4,71,8746,212
DEC03,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,213
DEC03,Juvenile,Female,0,0,0,0,0,0,0,52,0,24,5,23,0,0,0,0,0,0,2,0,0,0,2,54,57,14,14,0,10,33,0,80,24,315,10,265,12,28,9,0,0,2,0,7,18,3,12,3,0,503,21,0,9,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,19,2,0,0,0,2,0,95,1,32,17,45,0,5,1,3,1,0,5,167,214
DEC03,Juvenile,Male,0,1,0,0,0,0,1,134,1,69,15,49,36,3,33,16,6,10,21,3,0,2,16,208,497,190,186,4,76,231,7,417,127,681,18,256,168,239,10,0,0,0,0,10,70,13,33,24,0,1809,187,3,83,7,5,89,0,0,0,0,0,0,0,0,0,36,0,2,114,39,1,1,10,23,4,145,1,59,27,58,0,33,11,18,4,0,28,584,215
DEC03,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
JAN04,Adult,Female,0,1,0,0,0,0,1,212,5,78,19,110,2,0,2,5,4,1,75,1,0,1,73,295,86,57,52,5,9,20,2,75,46,552,15,287,33,217,353,1,64,102,0,186,90,21,11,58,0,1204,588,0,258,25,12,293,28,0,0,11,13,0,0,4,0,47,0,80,29,39,1,7,2,23,6,463,9,207,12,235,1,568,7,496,65,0,26,1869,217
JAN04,Adult,Male,5,9,5,0,2,0,2,734,47,341,68,278,207,49,158,71,33,38,165,14,0,25,126,1191,849,453,425,28,125,271,10,940,292,1128,55,361,319,393,547,5,73,138,0,331,417,79,88,245,5,4183,2180,7,981,127,52,1013,110,3,1,3,103,0,0,0,0,204,0,612,221,316,11,77,14,151,63,2011,36,802,56,1117,17,2765,90,2009,665,1,79,8515,218
JAN04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
JAN04,Juvenile,Female,0,0,0,0,0,0,0,38,2,14,2,20,1,0,1,3,0,3,6,0,0,0,6,48,54,23,22,1,12,19,1,77,27,254,9,175,26,44,9,0,0,1,0,8,21,4,10,7,0,443,45,0,22,0,1,22,0,0,0,0,0,0,0,0,0,19,0,4,23,1,0,0,0,1,0,90,2,33,19,36,0,3,1,2,0,0,3,188,220
JAN04,Juvenile,Male,0,1,1,0,0,0,0,105,6,45,9,45,31,4,27,16,10,6,16,0,0,0,16,169,457,164,160,4,74,219,19,429,184,767,32,284,145,306,68,3,0,1,0,64,69,17,27,25,0,1993,138,0,67,3,3,65,0,0,0,0,0,0,0,0,0,33,0,4,92,34,0,4,0,30,0,195,3,75,50,67,0,23,12,10,1,0,15,534,221
JAN04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
FEB04,Adult,Female,2,2,1,0,0,0,1,176,8,65,19,84,5,0,5,9,6,3,65,1,0,2,62,259,142,75,70,5,5,62,1,86,35,452,32,243,23,154,241,1,45,58,0,137,106,27,26,52,1,1063,581,1,244,33,7,296,15,1,0,8,5,0,0,1,0,55,0,78,33,36,2,8,1,18,7,469,10,187,15,257,1,522,5,450,67,0,15,1805,223
FEB04,Adult,Male,4,9,6,0,0,0,3,703,32,343,49,279,237,58,179,90,65,25,176,18,0,22,136,1219,766,459,415,44,115,192,9,626,289,992,78,360,261,293,574,5,68,191,0,310,368,69,59,234,6,3624,2314,15,1026,155,74,1044,79,0,0,2,76,0,0,0,1,176,0,565,143,290,15,74,9,119,73,1799,34,745,65,955,26,2524,95,1894,534,1,74,7990,224
FEB04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
FEB04,Juvenile,Female,0,0,0,0,0,0,0,44,1,17,3,23,3,0,3,6,1,5,4,0,0,1,3,57,59,32,29,3,6,21,0,49,21,217,10,173,9,25,5,0,0,1,0,4,17,4,9,4,0,368,40,0,26,0,2,12,0,0,0,0,0,0,0,0,0,14,0,3,15,2,0,0,0,2,0,91,0,36,21,34,0,0,0,0,0,0,2,167,226
FEB04,Juvenile,Male,0,0,0,0,0,0,0,120,3,56,17,44,25,5,20,23,8,15,25,2,0,3,20,193,456,169,167,2,67,220,6,288,133,563,22,204,190,147,17,0,1,1,0,15,91,17,34,40,0,1554,148,0,72,9,5,62,0,0,0,0,0,0,0,0,0,68,0,3,114,31,1,3,0,24,3,164,4,56,39,65,0,24,6,15,3,0,16,568,227
FEB04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
MAR04,Adult,Female,0,0,0,0,0,0,0,229,18,73,24,114,1,0,1,10,5,5,89,2,1,4,82,329,87,64,58,6,9,14,1,105,37,514,20,308,23,163,341,1,59,86,0,195,95,16,19,60,0,1180,718,7,292,39,16,364,25,0,0,6,10,1,0,1,7,60,0,78,24,37,2,7,0,23,5,418,8,165,13,232,0,465,10,384,71,0,22,1847,229
MAR04,Adult,Male,1,14,12,0,0,0,2,689,25,330,53,281,223,43,180,83,52,31,182,16,2,17,147,1192,1185,422,387,35,332,431,7,666,286,1200,67,435,323,375,611,5,75,100,0,431,446,89,87,263,7,4401,2559,19,1168,130,88,1154,46,0,1,0,39,1,0,0,5,193,1,562,156,287,17,73,5,134,58,1921,40,771,72,1038,8,2468,100,1747,619,2,66,8267,230
MAR04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
MAR04,Juvenile,Female,0,0,0,0,0,0,0,63,0,27,7,29,3,0,3,3,1,2,9,1,0,0,8,78,42,7,7,0,10,25,0,89,22,293,9,177,18,89,11,0,2,1,0,8,27,6,7,14,0,484,50,0,31,0,5,14,0,0,0,0,0,0,0,0,0,10,0,0,24,2,0,0,0,2,0,79,2,28,13,36,0,6,0,6,0,0,8,179,232
MAR04,Juvenile,Male,0,5,5,0,0,0,0,129,8,62,12,47,30,7,23,26,8,18,21,3,0,1,17,211,460,114,113,1,84,262,2,317,154,489,10,202,156,121,8,0,1,0,0,7,78,18,28,32,0,1508,224,0,111,4,7,102,0,0,0,0,0,0,0,0,0,36,0,1,86,48,1,5,5,25,12,199,3,63,58,75,0,32,11,16,5,0,17,643,233
MAR04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
APR04,Adult,Female,0,3,1,0,0,0,2,162,12,52,16,82,2,0,2,6,0,6,119,4,0,4,111,292,81,51,47,4,10,20,4,68,34,411,18,231,32,130,238,2,25,66,0,145,104,23,27,52,2,940,670,1,294,29,16,330,39,0,0,13,25,0,0,0,1,46,0,78,21,31,2,5,0,21,3,374,5,154,14,201,2,594,6,478,110,0,14,1869,235
APR04,Adult,Male,10,8,6,0,0,0,2,616,33,305,64,214,236,51,185,55,25,30,179,29,1,24,125,1104,680,388,363,25,95,197,13,565,241,1061,53,356,344,308,596,0,94,136,0,366,314,57,51,201,5,3470,2341,10,1052,117,66,1096,79,0,0,3,72,1,0,1,2,164,1,499,126,244,10,60,7,115,52,1774,30,712,77,955,15,2613,101,1877,634,1,71,7927,236
APR04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
APR04,Juvenile,Female,0,0,0,0,0,0,0,35,1,20,1,13,6,0,6,4,0,4,6,0,0,1,5,51,33,15,15,0,4,14,0,52,20,188,10,161,3,14,9,0,0,0,0,9,10,3,4,3,0,312,39,0,13,0,0,26,0,0,0,0,0,0,0,0,0,13,0,0,21,1,0,0,0,1,0,57,0,22,14,21,0,5,1,3,1,0,5,141,238
APR04,Juvenile,Male,1,0,0,0,0,0,0,144,5,80,8,51,23,6,17,42,13,29,20,0,0,3,17,230,487,142,142,0,93,252,5,487,125,485,26,219,141,99,20,2,2,2,0,14,64,24,17,23,0,1673,178,0,84,8,6,80,0,0,0,0,0,0,0,0,0,35,0,2,106,27,0,0,4,20,3,218,9,50,76,83,0,22,6,9,6,1,15,603,239
APR04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
MAY04,Adult,Female,0,1,0,0,0,0,1,158,8,58,16,76,5,0,5,3,1,2,82,0,0,12,70,249,68,38,37,0,7,23,2,67,33,407,24,260,22,101,259,2,57,40,0,160,99,17,23,58,1,935,617,1,274,23,12,307,31,3,0,5,21,0,0,0,2,39,0,70,29,18,0,5,0,11,2,392,11,181,12,188,1,488,10,396,82,0,14,1699,241
MAY04,Adult,Male,3,13,12,0,0,0,1,660,45,300,56,259,246,44,202,89,61,28,147,18,2,19,108,1158,751,362,338,24,141,248,8,608,258,990,70,331,258,331,653,2,84,101,0,466,378,73,79,217,9,3646,2480,11,1174,111,73,1111,67,4,0,2,58,2,0,1,0,138,0,545,142,263,8,49,6,144,56,1884,36,759,75,1014,19,2503,106,1763,633,1,79,8120,242
MAY04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,243
MAY04,Juvenile,Female,0,0,0,0,0,0,0,29,2,12,3,12,4,0,4,4,1,3,13,0,0,2,11,50,52,17,17,0,6,29,0,69,12,262,6,217,18,21,21,0,0,4,0,17,22,7,12,3,0,438,50,0,23,1,1,25,0,0,0,0,0,0,0,0,0,12,0,0,34,0,0,0,0,0,0,76,0,30,9,37,0,2,0,2,0,0,6,180,244
MAY04,Juvenile,Male,0,1,1,0,0,0,0,98,4,41,7,46,36,6,30,21,9,12,11,1,0,1,9,167,427,172,168,4,71,184,5,350,164,603,33,258,191,121,21,0,0,1,0,20,57,11,27,19,0,1627,218,0,116,6,5,91,1,0,0,0,1,0,0,0,0,43,0,7,100,32,0,3,0,28,1,175,7,52,50,66,0,27,9,16,2,0,20,623,245
MAY04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
JUN04,Adult,Female,0,1,1,0,0,0,0,144,5,60,8,71,6,3,3,3,1,2,73,1,0,4,68,227,65,47,41,6,9,9,1,72,37,390,20,236,31,103,383,4,29,184,0,166,96,16,22,56,2,1044,791,0,346,24,22,399,15,1,0,5,7,1,0,0,1,53,2,66,21,24,2,3,0,18,1,349,5,154,20,170,1,562,11,448,102,1,17,1901,247
JUN04,Adult,Male,2,8,5,0,1,0,2,633,40,279,70,244,159,49,110,48,28,20,153,18,5,19,111,1003,912,414,363,51,178,320,19,496,265,1061,47,331,320,363,609,11,106,111,0,381,338,59,90,183,6,3700,2667,12,1218,114,98,1225,44,1,0,5,37,0,0,0,1,171,2,499,102,236,12,71,6,104,43,1623,19,689,49,866,21,2408,79,1727,602,0,61,7834,248
JUN04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
JUN04,Juvenile,Female,0,0,0,0,0,0,0,51,0,20,6,25,2,0,2,0,0,0,6,0,0,1,5,59,34,13,13,0,4,17,0,48,28,316,6,267,10,33,22,0,0,5,0,17,21,4,8,9,0,469,40,0,22,0,0,18,0,0,0,0,0,0,0,0,0,12,0,1,19,2,0,0,0,2,0,51,0,17,14,20,0,2,0,1,1,0,2,129,250
JUN04,Juvenile,Male,0,0,0,0,0,0,0,85,2,42,9,32,43,5,38,12,8,4,11,2,0,1,8,151,372,170,167,3,39,163,5,335,95,486,19,223,98,146,48,0,0,30,0,18,38,8,9,21,0,1379,192,0,89,3,9,91,0,0,0,0,0,0,0,0,0,33,0,1,83,31,2,2,0,23,4,161,1,78,29,53,0,27,7,12,8,0,27,555,251
JUN04,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
JUL04,Adult,Female,0,2,2,0,0,0,0,164,12,62,17,73,5,0,5,7,5,2,81,2,0,5,74,259,73,56,52,4,4,13,0,76,49,614,16,316,23,259,406,4,42,147,0,213,97,11,22,64,0,1315,749,0,318,20,15,396,6,0,0,2,3,1,0,0,0,37,0,67,19,24,1,3,0,17,3,401,9,200,14,178,1,531,10,434,87,0,16,1851,253
JUL04,Adult,Male,3,7,5,0,1,0,1,665,55,312,68,230,134,26,108,84,45,39,150,18,1,15,116,1043,618,364,324,40,91,163,72,586,307,1281,45,320,497,419,631,5,61,184,0,381,322,55,67,192,8,3817,2827,8,1306,118,64,1331,25,0,0,1,24,0,0,0,0,178,3,528,116,273,15,55,4,141,58,1892,31,764,85,1012,10,2691,92,1908,689,2,72,8615,254
JUL04,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
