"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
SEP08,4,9,7,0,0,2,0,1457,59,656,121,621,508,137,371,146,72,74,279,13,5,51,210,2403,3792,2175,2126,49,408,1209,119,3872,742,6728,498,1139,2044,3047,1123,51,49,195,31,797,379,90,85,197,7,16755,3940,19,1735,94,299,1793,38,6,2,23,5,1,0,1,0,705,0,761,366,259,7,32,3,162,55,4025,116,1689,103,2117,72,3447,159,2550,737,1,245,13858
OCT08,3,14,10,0,0,4,0,1614,75,767,127,645,548,147,401,151,81,70,266,18,3,57,188,2596,3693,2152,2111,41,381,1160,122,3919,798,6803,518,1216,1981,3088,1321,59,82,246,35,899,465,92,183,187,3,17121,4021,20,1919,150,261,1671,59,0,0,42,3,12,0,1,1,664,0,713,342,330,12,47,0,194,77,4153,130,1731,152,2140,155,3596,156,2774,662,4,285,14318
NOV08,4,10,6,0,0,4,0,1726,83,784,131,728,582,140,442,143,52,91,288,13,3,47,225,2753,3607,2110,2065,45,347,1150,148,3523,881,6892,526,1275,2057,3034,1166,52,62,236,16,800,405,131,90,175,9,16622,3490,54,1652,125,135,1524,10,0,0,3,3,2,0,1,1,646,0,743,343,317,11,45,1,199,61,4613,136,1819,108,2550,90,3492,157,2691,632,12,287,14031
DEC08,6,14,10,1,1,2,0,1660,100,730,174,656,349,114,235,149,68,81,295,34,2,61,198,2473,3360,2020,1979,41,329,1011,131,3462,827,6909,555,1266,1870,3218,1154,74,45,157,53,825,403,98,77,221,7,16246,3357,23,1590,110,123,1511,13,0,3,6,2,1,0,1,0,924,0,799,355,313,10,52,1,189,61,4908,138,1964,133,2673,56,3929,172,3039,714,4,250,14904
JAN09,5,15,7,0,0,8,0,1608,79,746,153,630,447,127,320,163,79,84,320,24,7,49,240,2558,4177,2386,2340,46,473,1318,149,3610,887,6861,583,1010,2167,3101,1670,49,52,284,21,1264,393,109,80,197,7,17747,3430,11,1645,109,159,1506,20,6,2,4,4,4,0,0,0,816,0,775,361,253,7,34,6,168,38,4404,149,1723,129,2403,69,3752,154,2943,648,7,212,14092
FEB09,0,7,2,0,2,3,0,1647,92,717,154,684,470,124,346,153,75,78,382,23,6,73,280,2659,3938,2167,2109,58,469,1302,86,3407,756,6530,547,1147,1917,2919,1731,98,85,233,24,1291,413,114,56,241,2,16861,3552,17,1614,124,180,1617,2,0,0,1,1,0,0,0,0,627,0,659,323,263,8,44,3,168,40,3737,124,1456,129,2028,99,3135,111,2509,513,2,246,12643
MAR09,4,14,11,1,1,1,0,1842,98,846,149,749,553,160,393,167,96,71,395,20,5,81,289,2975,3832,2254,2203,51,365,1213,121,3651,809,6891,519,1274,1989,3109,1677,52,44,237,20,1324,391,91,89,204,7,17372,3543,13,1629,123,162,1616,25,3,3,5,12,1,0,0,1,999,0,729,315,321,17,48,1,184,71,4324,137,1615,140,2432,105,3441,136,2753,551,1,220,14022
APR09,0,12,7,0,1,4,0,1536,78,700,121,637,403,98,305,167,80,87,271,20,6,37,208,2389,3616,2083,2041,42,397,1136,114,3421,789,6710,516,1235,2154,2805,1359,38,68,300,17,936,374,105,65,197,7,16383,3517,22,1628,133,180,1554,24,1,1,14,5,3,0,0,0,772,0,677,277,316,10,47,7,186,66,3953,117,1549,131,2156,99,3505,121,2786,598,0,232,13372
MAY09,9,12,5,0,1,6,0,1687,86,736,120,745,446,114,332,189,106,83,273,16,7,49,201,2616,3530,1987,1947,40,359,1184,120,3213,771,6840,557,1419,2126,2738,1388,60,66,348,27,887,403,118,85,198,2,16265,4009,12,1810,114,289,1784,11,0,0,1,2,1,0,1,6,904,0,640,279,277,7,35,6,173,56,4464,125,1602,156,2581,84,3373,111,2677,581,4,224,14265
JUN09,1,6,5,0,1,0,0,1559,91,712,134,622,502,132,370,175,106,69,321,21,10,55,235,2564,3684,1991,1958,33,400,1293,126,3643,810,7168,563,1437,2249,2919,1345,32,30,287,27,969,361,107,52,193,9,17137,4051,18,1915,148,161,1809,21,0,0,11,1,9,0,0,0,725,0,683,338,308,3,48,3,191,63,3785,90,1512,177,2006,25,3473,121,2790,555,7,245,13654
